fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,approved
8.7,0.56,0.2,3.2,0.12,21.5,0.9954,3.13,0.59,10.7,0
6.6,0.69,0.06,2.0,0.132,10.6,0.9943,3.58,0.69,10.9,0
7.2,0.41,0.79,1.7,0.081,22.1,1.0,3.4,0.64,9.4,0
7.0,0.51,0.29,1.7,0.077,10.3,0.9943,3.28,0.45,10.7,0
5.1,0.42,0.13,2.8,0.094,17.1,0.9962,3.47,0.52,10.9,1
7.4,0.5,0.69,6.2,0.064,19.6,0.9982,3.26,0.88,10.7,0
9.4,0.46,0.58,6.3,0.156,35.3,0.9962,3.44,0.3,10.4,0
8.9,0.43,0.53,4.4,0.01,6.7,0.9978,3.02,0.63,9.5,1
8.6,0.6,0.24,3.0,0.069,22.2,0.9989,3.25,0.95,9.6,1
7.8,0.19,0.33,1.7,0.013,24.8,0.9968,3.18,0.74,10.8,1
8.2,0.77,0.67,2.6,0.114,39.9,0.9976,3.1,0.74,8.1,0
9.2,0.4,0.51,4.0,0.097,31.9,0.9978,3.21,0.74,11.7,1
9.7,0.62,0.28,3.3,0.122,23.1,0.995,3.29,0.65,10.0,1
8.8,0.63,0.09,2.8,0.095,1.0,0.9939,3.22,0.59,10.8,0
6.5,0.48,0.72,2.4,0.105,21.0,1.0007,3.38,0.86,11.7,1
7.6,0.61,0.76,4.5,0.046,27.6,0.9976,3.32,0.46,9.1,1
9.0,0.34,0.58,5.6,0.094,4.5,0.995,3.23,0.75,10.9,0
7.2,0.43,0.55,4.2,0.05,6.8,1.0009,3.48,0.5,10.1,0
7.3,0.49,0.43,7.9,0.116,35.0,0.9937,3.42,0.55,8.5,0
9.5,0.61,0.78,4.8,0.042,29.0,0.9949,3.36,0.86,12.1,1
9.6,0.47,0.56,2.5,0.063,1.0,0.9958,3.13,0.61,9.4,1
6.7,0.5,0.06,3.4,0.083,16.2,0.9987,3.36,0.55,11.8,0
6.0,0.68,0.07,2.8,0.159,15.8,0.9959,3.4,0.95,9.2,0
6.2,0.6,0.77,3.0,0.088,32.6,0.9965,3.44,0.49,8.8,1
9.4,0.95,0.75,6.7,0.182,33.4,0.9942,3.24,0.99,9.1,0
6.9,0.37,0.45,1.9,0.152,19.1,0.9964,3.49,0.7,9.2,1
7.4,0.3,0.17,1.0,0.073,5.4,0.9962,3.48,0.86,9.4,0
6.2,0.87,0.47,4.0,0.106,11.4,0.9935,3.54,0.53,11.3,0
8.3,0.58,0.61,1.5,0.113,1.0,0.9961,3.11,0.82,12.7,1
7.9,0.77,0.01,1.4,0.01,1.0,0.9949,3.25,0.81,12.0,1
9.1,0.35,0.66,13.2,0.01,44.2,0.9996,3.11,0.56,10.4,1
8.9,0.44,0.37,1.8,0.108,12.7,0.9972,3.19,0.59,10.1,0
5.0,0.55,0.37,1.6,0.111,12.8,0.9996,3.1,0.4,10.1,0
8.9,0.53,0.35,1.5,0.094,14.5,0.9929,3.15,0.48,8.0,0
8.2,0.52,0.55,2.3,0.035,17.1,0.9946,3.41,0.8,10.6,1
10.4,0.24,0.17,2.3,0.2,20.3,0.9953,3.24,0.63,11.0,0
6.9,0.51,0.49,3.5,0.114,6.1,0.9951,3.14,0.43,9.4,0
9.2,0.59,0.04,1.3,0.135,31.8,0.9973,3.61,0.74,8.8,1
8.5,0.47,0.65,3.5,0.131,9.0,0.9961,3.36,0.89,10.4,0
6.8,0.71,0.65,2.5,0.094,1.0,0.9947,3.15,0.84,11.4,0
10.1,0.71,0.25,1.6,0.091,1.4,1.0024,3.27,0.85,9.3,0
9.0,0.57,0.08,4.8,0.129,15.8,0.9971,3.34,0.33,9.2,0
7.7,0.4,0.6,2.6,0.062,25.6,0.9927,3.26,0.74,9.7,0
6.8,0.59,0.38,4.2,0.133,24.3,0.9982,3.23,0.34,10.9,0
10.3,0.62,0.74,7.3,0.095,29.3,1.0015,3.22,0.45,9.6,1
9.8,0.55,0.28,2.1,0.115,2.7,0.9982,3.42,0.82,12.1,1
8.3,0.4,0.67,6.7,0.095,29.7,0.9946,3.41,0.72,9.9,1
8.3,0.68,0.02,1.6,0.045,21.1,0.9958,3.16,0.89,9.8,1
6.4,0.61,0.62,1.6,0.079,12.5,0.9983,3.05,0.63,10.5,1
10.6,0.46,0.54,3.7,0.144,8.1,0.9948,3.18,0.87,11.5,1
6.4,0.56,0.42,1.3,0.117,6.2,0.9964,3.5,0.71,11.1,1
9.8,0.36,0.73,2.5,0.139,21.5,0.9949,3.27,0.51,8.4,0
11.7,0.19,0.75,1.6,0.131,16.6,0.9979,3.26,0.82,11.0,1
7.0,0.26,0.74,3.1,0.06,1.0,0.9983,3.38,0.66,11.5,1
7.5,0.58,0.48,5.1,0.014,12.7,0.9993,3.12,0.71,11.6,1
7.0,0.48,0.42,1.1,0.127,11.4,0.9987,3.34,0.85,12.0,1
10.4,0.61,0.22,2.3,0.079,28.3,0.9995,3.25,1.06,12.9,1
8.5,0.68,0.13,4.3,0.119,19.6,1.0,3.23,0.6,10.5,0
5.8,0.59,0.45,2.0,0.153,11.5,0.9939,3.18,0.76,10.0,0
6.5,0.41,0.12,1.1,0.07,7.6,0.9951,3.49,0.64,9.5,1
9.4,0.6,0.14,3.2,0.051,18.7,0.9949,3.33,0.54,9.1,1
7.1,0.46,0.29,1.3,0.039,9.2,0.997,3.38,0.64,9.9,0
5.3,0.47,0.15,2.2,0.086,1.0,0.9954,3.26,0.8,9.8,0
9.3,0.72,0.4,12.6,0.021,19.6,0.9959,3.44,0.79,9.2,0
8.9,0.63,0.53,2.3,0.104,15.1,0.9988,3.49,0.41,10.6,0
7.0,0.45,0.56,5.6,0.106,14.0,0.9978,3.3,0.61,10.3,0
7.7,0.38,0.43,5.9,0.106,16.6,0.9957,3.14,0.95,10.5,1
7.7,0.78,0.42,1.8,0.01,21.6,0.9983,3.4,0.4,9.3,0
8.0,0.52,0.38,3.3,0.143,2.1,0.9973,3.07,0.43,10.9,0
10.6,0.32,0.2,8.4,0.093,7.2,0.9973,3.24,0.86,9.7,1
9.6,0.45,0.52,3.3,0.066,31.4,0.998,3.34,0.61,12.0,1
9.3,0.21,0.53,5.2,0.118,27.6,0.9918,3.31,0.32,8.0,0
8.1,0.1,0.2,2.6,0.117,37.3,0.9949,3.64,0.63,9.8,1
7.0,0.7,0.56,4.2,0.033,24.2,0.9947,3.38,0.56,10.9,0
10.7,0.37,0.69,1.1,0.085,23.3,0.9968,3.39,0.52,9.0,0
8.3,0.31,0.48,4.9,0.059,15.0,0.9982,3.36,1.05,11.8,1
6.7,0.43,0.09,3.8,0.067,1.0,0.9957,3.3,0.36,11.5,1
13.4,0.47,0.26,2.1,0.112,23.0,0.9948,3.38,0.55,12.3,0
8.7,0.42,0.07,2.3,0.046,15.0,0.9924,3.32,0.69,11.8,1
6.4,0.37,0.24,2.0,0.113,1.0,0.9974,3.21,0.39,11.2,0
9.8,0.52,0.17,2.9,0.044,22.0,0.9943,3.55,0.87,10.6,0
9.9,0.49,0.44,1.3,0.144,27.7,0.9973,3.28,0.52,9.1,0
7.6,0.84,0.34,5.7,0.056,7.5,0.9949,3.08,0.46,11.9,0
6.8,0.46,0.58,2.6,0.195,12.0,0.9978,3.0,0.77,9.7,0
7.9,0.52,0.29,1.1,0.125,19.8,0.9974,3.23,0.76,10.2,0
9.5,0.37,0.12,3.0,0.078,6.6,0.9931,3.35,0.66,10.0,0
9.7,0.65,0.19,7.7,0.042,14.4,0.9984,3.36,0.5,9.8,1
7.3,0.83,0.44,1.2,0.111,18.3,0.9973,2.99,0.58,11.7,0
10.7,0.51,0.36,1.3,0.135,24.3,0.9989,3.51,0.67,11.4,0
5.7,0.42,0.03,2.2,0.116,15.8,0.9939,3.35,0.51,11.0,0
7.3,0.56,0.17,4.3,0.06,21.4,0.9945,3.33,0.9,10.4,0
8.1,0.62,0.24,3.3,0.154,13.7,0.9959,3.43,0.97,8.5,0
7.8,1.05,0.58,2.5,0.101,17.4,0.9964,3.41,0.43,10.3,1
7.4,0.5,0.58,13.3,0.056,19.6,0.9962,3.46,0.94,11.9,1
10.5,0.47,0.56,1.5,0.191,1.0,0.9928,3.2,0.62,9.9,0
8.1,0.32,0.65,5.3,0.118,8.8,0.9972,3.4,0.42,9.8,0
8.9,0.48,0.7,1.3,0.106,27.8,0.9961,3.47,0.74,11.3,0
8.9,0.45,0.06,1.5,0.064,1.0,0.9959,3.32,0.61,10.4,0
8.9,0.63,0.39,1.9,0.085,20.0,0.9967,3.27,0.73,11.8,0
8.0,0.48,0.12,6.2,0.049,30.4,0.9972,3.34,0.82,9.4,0
5.2,0.35,0.28,2.5,0.096,27.8,0.9965,3.4,0.77,10.6,1
9.8,0.34,0.53,2.3,0.113,24.6,0.9948,3.45,0.54,10.8,0
8.2,0.45,0.48,2.7,0.01,34.1,0.9939,3.01,0.96,10.3,1
7.5,0.67,0.1,3.5,0.026,28.7,0.9985,3.31,0.6,11.9,0
7.5,0.56,0.61,2.4,0.044,11.9,0.9947,3.34,0.79,10.4,0
8.8,0.61,0.63,9.2,0.016,23.4,0.9942,3.29,0.79,11.2,1
7.4,0.53,0.11,1.4,0.048,1.4,0.9967,3.33,0.72,10.3,0
7.9,0.6,0.49,2.6,0.156,26.1,0.9977,3.29,0.73,10.4,0
9.5,0.47,0.76,2.3,0.141,15.2,0.9992,3.22,0.49,10.8,0
8.6,0.37,0.08,3.9,0.058,27.2,0.9949,3.25,0.6,9.4,0
6.8,0.38,0.13,9.2,0.113,18.8,0.9952,3.18,0.49,9.8,0
9.2,0.37,0.61,1.9,0.033,26.4,0.9971,3.24,0.82,10.3,1
7.8,0.76,0.27,8.8,0.179,17.4,0.998,3.57,0.58,10.5,0
9.7,0.71,0.76,5.4,0.078,13.3,0.9955,3.42,0.59,10.4,1
7.6,0.45,0.5,5.2,0.01,19.1,0.998,3.26,0.57,8.5,1
8.6,0.56,0.39,1.2,0.192,1.0,0.9955,3.24,0.57,11.5,0
9.3,0.66,0.27,8.1,0.073,14.8,0.9969,3.33,0.64,10.3,1
6.8,0.42,0.19,5.6,0.183,11.2,0.9941,3.22,0.6,9.0,0
9.5,0.51,0.52,3.9,0.13,1.4,0.9975,3.54,0.69,10.0,1
11.2,0.36,0.47,1.3,0.101,8.6,0.9977,3.37,0.63,12.1,1
9.1,0.37,0.29,2.4,0.01,2.3,0.9971,3.09,0.43,9.7,1
8.6,0.65,0.73,5.6,0.092,1.0,0.9929,3.09,0.79,12.6,1
9.8,0.54,0.61,2.4,0.014,9.9,0.9959,3.16,0.71,9.9,1
9.7,0.54,0.21,2.4,0.071,21.2,0.9974,3.27,0.78,12.1,1
8.5,0.73,0.75,1.8,0.095,1.0,0.9951,3.07,0.67,11.8,0
6.7,0.45,0.6,1.1,0.149,15.4,0.9991,3.35,0.74,10.6,1
7.2,0.66,0.72,2.8,0.059,18.0,1.0013,3.27,0.46,9.0,0
7.7,0.38,0.11,4.7,0.188,14.7,0.9949,3.21,0.58,9.5,0
6.1,0.45,0.03,1.4,0.015,24.7,0.998,3.33,0.76,10.1,1
10.7,0.4,0.39,6.6,0.049,48.6,0.9964,3.63,0.58,10.8,1
6.7,0.39,0.36,3.0,0.095,33.2,0.9976,3.2,0.89,9.4,1
8.2,0.85,0.7,5.2,0.01,9.2,0.9965,3.58,0.91,8.6,0
6.8,0.3,0.14,3.7,0.032,5.8,0.9963,3.25,0.71,10.4,0
9.3,0.4,0.02,1.4,0.109,11.0,0.9958,3.22,0.67,9.4,0
10.0,0.16,0.42,6.9,0.131,21.3,0.9977,3.21,1.01,9.6,1
6.1,0.44,0.14,4.2,0.041,16.3,0.9937,3.46,0.3,9.7,1
9.4,0.5,0.04,1.1,0.062,16.4,0.9953,3.31,0.72,10.5,1
6.3,0.68,0.02,3.2,0.111,16.9,0.9969,3.25,0.83,11.1,0
7.6,0.44,0.11,2.6,0.01,16.7,0.9955,2.94,0.37,12.0,1
12.8,0.32,0.3,5.9,0.078,18.7,0.9992,3.1,0.52,9.0,0
8.8,0.44,0.71,1.3,0.076,25.7,0.9978,3.46,0.82,9.8,0
9.8,0.58,0.61,3.2,0.17,19.6,0.9946,3.5,0.63,11.1,0
8.8,0.67,0.42,1.9,0.112,4.4,0.9962,3.52,0.75,10.5,0
8.0,0.42,0.34,1.7,0.088,25.6,0.9983,3.16,0.32,9.3,0
7.3,0.36,0.36,1.1,0.123,27.4,0.9973,3.4,0.41,11.5,1
10.8,0.46,0.71,2.0,0.097,14.4,0.9964,3.18,0.57,10.4,1
11.6,0.59,0.58,2.3,0.043,19.1,0.9964,3.5,0.87,12.3,1
8.4,0.67,0.14,2.5,0.121,11.0,0.999,3.43,0.78,10.5,1
10.4,0.35,0.75,4.3,0.127,7.8,0.994,3.33,0.5,9.8,0
9.8,0.4,0.62,2.3,0.072,9.0,1.0004,3.16,0.52,9.9,0
8.0,0.15,0.03,1.5,0.096,9.7,0.9971,3.5,0.76,8.8,0
8.4,0.16,0.4,2.3,0.179,31.0,1.0001,3.34,0.68,12.0,1
7.6,0.33,0.52,1.2,0.097,15.1,0.9966,3.41,0.73,10.3,1
11.8,0.35,0.05,9.9,0.077,7.3,1.0017,3.09,0.59,8.4,0
9.7,0.44,0.28,1.2,0.04,13.4,0.9954,3.13,0.57,11.4,1
8.4,0.58,0.52,1.6,0.045,22.9,0.9969,3.24,0.65,9.2,1
7.5,0.51,0.65,2.4,0.092,31.2,0.9983,3.75,0.53,11.0,1
9.2,0.58,0.78,7.8,0.058,21.6,0.9983,3.12,0.53,9.9,0
6.1,0.69,0.1,1.5,0.115,15.6,0.995,3.24,0.35,11.0,0
7.0,0.57,0.51,2.3,0.067,34.0,0.9938,3.26,0.57,8.9,0
8.0,0.49,0.71,12.3,0.222,13.6,0.995,3.52,0.46,10.7,0
7.6,0.61,0.57,3.3,0.098,12.9,0.9962,3.36,0.55,9.5,1
7.9,0.19,0.51,3.4,0.013,3.8,0.9964,3.08,0.63,8.4,0
9.5,0.48,0.17,10.1,0.096,9.5,0.9969,3.25,0.79,11.1,1
11.6,0.65,0.65,2.8,0.07,3.7,0.9981,3.24,0.62,10.2,0
9.5,0.5,0.45,1.0,0.121,2.2,0.9965,3.08,0.67,9.7,1
8.0,0.57,0.09,1.1,0.087,15.0,0.9927,3.31,0.59,9.8,0
10.0,0.49,0.75,3.9,0.106,10.7,0.9986,3.35,0.68,11.1,1
8.4,0.64,0.79,1.6,0.215,28.5,0.999,3.47,0.64,10.4,1
5.1,0.69,0.43,2.6,0.077,19.1,0.9973,3.39,0.31,11.0,0
10.3,0.15,0.62,3.0,0.122,23.2,0.9961,3.13,0.63,10.4,1
6.3,0.41,0.47,3.8,0.139,20.9,0.9972,3.28,0.64,11.5,0
8.5,0.17,0.34,1.2,0.102,4.6,0.999,3.57,0.71,8.9,0
6.9,0.1,0.33,4.6,0.011,13.8,0.9945,3.37,0.52,8.8,1
6.4,0.64,0.77,7.3,0.124,20.3,0.9955,3.38,0.59,11.0,0
7.5,0.67,0.3,1.7,0.01,1.0,0.9954,3.18,0.78,11.5,0
4.0,0.44,0.39,2.2,0.167,1.0,0.9945,3.22,0.53,10.9,1
7.1,0.41,0.2,4.4,0.026,17.9,1.002,3.19,0.56,11.6,1
9.0,0.5,0.2,1.7,0.179,13.3,0.997,3.31,0.89,11.4,1
8.9,1.03,0.28,3.0,0.091,1.0,0.9944,3.33,0.49,10.7,1
5.1,0.34,0.74,3.7,0.128,1.0,0.9939,3.33,0.35,8.3,0
9.9,0.29,0.32,6.3,0.111,5.6,0.9984,3.47,0.8,10.3,0
12.3,0.64,0.44,2.1,0.133,21.2,0.999,3.34,0.39,10.0,0
11.2,0.65,0.44,2.7,0.01,10.7,0.9986,3.01,0.62,11.0,1
7.4,0.6,0.47,1.5,0.057,28.0,1.0005,3.24,0.72,11.0,1
7.2,0.54,0.66,1.9,0.106,8.3,0.9958,3.29,0.8,8.7,0
6.8,0.47,0.72,1.2,0.089,10.1,0.9941,3.23,0.76,9.0,0
11.4,0.26,0.17,1.6,0.068,40.2,1.0018,3.28,0.49,8.0,0
7.4,0.86,0.69,2.1,0.096,24.8,0.9953,3.21,0.92,12.2,0
7.1,0.88,0.44,2.4,0.077,27.0,0.998,3.5,0.6,11.0,1
9.7,0.44,0.74,4.1,0.191,8.1,0.995,3.11,0.51,9.9,0
10.2,0.78,0.73,2.5,0.15,13.4,0.9988,3.11,0.82,10.6,0
10.0,0.59,0.31,1.1,0.157,16.2,0.9941,3.08,0.5,10.8,0
6.5,0.21,0.52,4.5,0.172,13.5,1.0018,3.43,0.72,11.2,1
9.1,0.23,0.7,2.9,0.11,17.6,0.9975,3.08,0.6,8.2,0
10.8,0.67,0.31,8.0,0.043,17.5,0.994,3.39,0.6,9.5,1
8.3,0.76,0.04,3.5,0.074,13.9,0.9924,3.29,1.07,10.7,1
8.8,0.59,0.29,2.9,0.104,13.2,0.9966,3.27,0.68,10.4,0
8.6,0.58,0.29,1.9,0.094,30.5,0.9989,3.37,0.3,11.0,0
7.8,0.37,0.65,1.7,0.025,6.8,0.9958,3.57,0.39,8.9,1
9.1,0.33,0.25,1.7,0.104,11.1,0.9993,3.13,0.7,10.1,0
9.8,0.67,0.72,2.3,0.034,1.0,0.9947,3.2,0.42,10.3,1
10.5,0.54,0.44,1.5,0.178,6.3,0.9982,3.07,0.55,11.1,0
8.2,0.51,0.47,5.6,0.124,10.9,0.9961,3.34,0.8,10.7,1
8.4,0.76,0.65,5.1,0.078,17.0,0.9982,3.23,0.63,9.4,0
7.4,0.83,0.11,4.3,0.09,24.7,0.9951,3.14,0.78,11.6,1
11.0,0.63,0.01,1.1,0.168,24.9,0.9955,3.24,0.87,9.8,0
7.6,0.36,0.05,1.2,0.017,30.1,0.9939,3.16,0.78,9.3,0
8.1,0.54,0.02,3.5,0.064,5.5,0.999,3.43,0.5,10.5,0
8.4,0.45,0.56,4.5,0.112,6.9,0.9957,3.01,0.8,9.5,0
8.7,0.51,0.2,1.1,0.01,4.4,0.9957,3.52,0.79,11.6,1
5.8,0.31,0.69,1.9,0.08,34.6,0.9957,3.51,0.65,11.9,1
9.2,0.76,0.71,1.4,0.066,21.8,0.9978,3.18,0.5,9.9,0
9.1,0.44,0.28,1.7,0.203,25.2,0.9922,3.35,0.66,9.4,0
8.6,0.82,0.16,2.8,0.081,3.8,0.9941,3.67,0.68,11.1,1
8.9,0.51,0.4,1.3,0.039,15.8,0.9994,3.34,0.46,10.5,1
8.2,0.44,0.65,1.7,0.045,21.8,0.9972,3.16,0.81,9.6,1
5.9,0.41,0.55,3.1,0.01,1.0,0.9955,3.45,0.59,10.0,0
10.2,0.41,0.02,2.8,0.166,10.7,0.9985,3.4,0.65,10.3,1
5.8,0.57,0.01,5.9,0.092,20.5,0.9971,3.15,0.72,8.7,0
6.8,0.52,0.09,1.4,0.079,1.0,0.9994,3.18,0.69,11.4,1
10.3,0.67,0.27,2.2,0.131,31.5,0.9955,3.28,0.64,9.4,0
6.0,0.39,0.43,7.5,0.113,22.9,0.9951,3.56,0.49,9.9,1
8.0,0.57,0.65,5.0,0.088,3.9,0.9939,3.14,0.91,10.5,1
11.4,0.75,0.11,3.3,0.04,15.4,0.9989,3.26,0.89,11.5,0
8.4,0.78,0.12,4.7,0.062,20.9,0.9988,3.56,0.84,12.4,0
6.0,0.4,0.69,2.5,0.093,17.3,0.9981,3.24,0.66,10.1,0
9.6,0.47,0.74,7.0,0.118,15.3,0.9947,3.47,0.75,11.5,1
9.1,0.42,0.44,3.3,0.024,14.7,0.9938,3.29,0.48,9.8,1
8.5,0.37,0.63,4.0,0.083,24.0,0.9985,3.54,0.65,11.0,0
4.8,0.65,0.27,3.6,0.148,24.5,0.9972,3.47,0.37,9.8,0
10.5,0.33,0.76,3.8,0.029,23.2,0.9949,3.34,0.56,8.6,0
11.3,0.92,0.72,3.6,0.122,23.3,0.998,3.3,0.75,11.5,1
8.3,0.57,0.68,1.2,0.026,21.0,1.0004,3.17,0.83,9.6,1
7.2,0.5,0.01,3.3,0.062,22.1,0.996,3.05,0.5,10.7,1
9.2,0.89,0.42,4.8,0.01,33.5,0.9965,3.31,0.52,8.6,0
9.2,0.29,0.02,1.0,0.101,14.7,0.9986,3.38,0.72,8.9,1
9.4,0.39,0.54,6.6,0.051,1.0,0.9992,3.43,0.35,8.4,0
8.3,0.3,0.15,8.6,0.01,28.9,0.9968,3.65,0.9,10.8,1
9.2,0.53,0.51,1.3,0.094,20.7,0.9932,3.11,0.51,9.3,0
9.6,0.41,0.08,2.9,0.137,21.5,0.9988,3.29,0.63,12.0,1
12.7,0.3,0.61,1.3,0.106,6.8,0.9954,3.38,0.77,8.7,0
9.1,0.32,0.58,1.8,0.104,1.0,0.9975,3.16,0.62,10.6,1
8.6,0.59,0.0,3.4,0.124,18.9,0.999,3.4,0.59,8.2,0
5.7,0.64,0.63,1.9,0.053,13.2,0.9981,3.36,0.74,12.7,1
5.9,0.28,0.13,2.1,0.092,15.7,0.9969,3.25,0.57,9.0,0
8.5,0.5,0.09,4.4,0.19,10.4,0.9966,3.08,0.71,11.1,1
8.2,0.46,0.4,3.1,0.094,16.5,0.9952,3.3,0.65,9.8,1
6.7,0.41,0.47,2.8,0.048,8.8,0.9972,3.37,0.45,11.2,1
6.6,0.82,0.08,2.0,0.103,31.6,0.9946,3.04,0.87,9.2,0
9.3,0.52,0.24,4.0,0.069,13.9,0.9984,3.26,0.59,10.5,1
7.3,0.56,0.33,2.4,0.085,24.9,0.9986,3.26,0.74,9.7,0
7.0,0.65,0.75,6.7,0.122,20.9,0.9966,3.45,0.52,13.3,1
6.5,0.54,0.2,3.3,0.062,29.5,0.9953,3.14,0.33,9.3,0
6.9,0.53,0.21,2.9,0.01,17.8,0.9932,3.38,0.84,9.2,1
7.7,0.68,0.53,5.1,0.079,25.6,0.9951,3.4,0.66,12.1,0
8.3,0.43,0.58,2.7,0.11,23.5,0.9953,3.34,0.69,11.2,0
8.7,0.45,0.01,1.8,0.169,32.2,0.9968,3.44,0.67,9.5,0
7.6,0.35,0.11,1.4,0.137,23.4,0.9949,3.61,1.02,10.5,1
5.3,0.78,0.29,3.1,0.071,7.8,0.9985,3.45,0.79,10.5,1
6.4,0.63,0.51,2.4,0.11,14.0,0.9996,3.24,0.77,10.7,1
7.4,0.57,0.11,2.3,0.075,3.1,0.9969,3.4,0.56,11.2,1
10.1,0.81,0.29,2.1,0.129,12.6,0.994,3.48,0.63,9.1,0
8.1,0.31,0.06,3.8,0.08,1.4,0.9922,3.19,0.66,10.7,1
9.0,0.52,0.46,2.8,0.122,23.8,0.9968,3.4,0.76,10.0,0
10.7,0.26,0.34,2.9,0.165,1.0,0.9959,3.35,0.61,8.0,0
8.0,0.28,0.63,1.9,0.207,4.7,0.9946,3.4,0.6,9.8,1
8.3,0.73,0.46,3.4,0.017,19.3,0.9961,3.1,0.8,9.8,0
8.4,0.83,0.53,2.3,0.01,24.3,1.0016,3.29,0.93,11.3,1
8.4,0.46,0.54,4.7,0.043,1.0,1.0003,3.21,0.3,11.8,1
